啊哈	a'ha
黑热病	hei're'bing
黑人	hei'ren
黑色	hei'se
黑色金属	hei'se'jin'shu
黑色素	hei'se'su
黑山	hei'shan
黑市	hei'shi
黑手	hei'shou
黑瘦	hei'shou
黑水	hei'shui
黑松	hei'song
黑穗病	hei'sui'bing
黑陶	hei'tao
黑体	hei'ti
黑天	hei'tian
黑土	hei'tu
黑下	hei'xia
黑心	hei'xin
黑压压	hei'ya'ya
黑夜	hei'ye
黑黝黝	hei'you'you
痕迹	hen'ji
很不	hen'bu
很差	hen'cha
很长	hen'chang
很大	hen'da
很大程度上	hen'da'cheng'du'shang
很低	hen'di
很短	hen'duan
很对	hen'dui
很多	hen'duo
很多人	hen'duo'ren
很高	hen'gao
很广	hen'guang
很好	hen'hao
很很	hen'hen
很坏	hen'huai
很久	hen'jiu
很快	hen'kuai
很慢	hen'man
很难	hen'nan
很难说	hen'nan'shuo
很破	hen'po
很强	hen'qiang
很少	hen'shao
很深	hen'shen
很受	hen'shou
很晚	hen'wan
很象	hen'xiang
很小	hen'xiao
很有	hen'you
很远	hen'yuan
很早	hen'zao
很早以前	hen'zao'yi'qian
狠毒	hen'du
狠狠	hen'hen
狠心	hen'xin
狠抓	hen'zhua
恨不得	hen'bu'de
恨透	hen'tou
哼哼	heng'heng
亨利	heng'li
横暴	heng'bao
横波	heng'bo
横财	heng'cai
横渡	heng'du
横断面	heng'duan'mian
横放	heng'fang
横幅	heng'fu
横贯	heng'guan
横加	heng'jia
横跨	heng'kua
横梁	heng'liang
横流	heng'liu
横蛮	heng'man
横排	heng'pai
横切	heng'qie
横切面	heng'qie'mian
横扫	heng'sao
横山	heng'shan
横生	heng'sheng
横竖	heng'shu
横躺	heng'tang
横线	heng'xian
横向	heng'xiang
横行	heng'xing
横行霸道	heng'xing'ba'dao
横征暴敛	heng'zheng'bao'lian
横直	heng'zhi
横轴	heng'zhou
横坐标	heng'zuo'biao
衡量	heng'liang
衡山	heng'shan
衡阳	heng'yang
恒等	heng'deng
恒等式	heng'deng'shi
恒定	heng'ding
恒量	heng'liang
恒湿	heng'shi
恒温	heng'wen
恒星	heng'xing
恒压	heng'ya
轰动	hong'dong
轰轰烈烈	hong'hong'lie'lie
轰击	hong'ji
轰隆	hong'long
轰鸣	hong'ming
轰炸	hong'zha
轰炸机	hong'zha'ji
哄骗	hong'pian
哄抬	hong'tai
烘焙	hong'bei
烘干	hong'gan
烘干机	hong'gan'ji
烘烤	hong'kao
烘炉	hong'lu
烘青	hong'qing
烘托	hong'tuo
烘箱	hong'xiang
虹口	hong'kou
虹吸	hong'xi
虹吸管	hong'xi'guan
虹鳟	hong'zun
鸿沟	hong'gou
鸿渐	hong'jian
洪承畴	hong'cheng'chou
洪大	hong'da
洪峰	hong'feng
洪湖	hong'hu
洪亮	hong'liang
洪流	hong'liu
洪门	hong'men
洪仁柑	hong'ren'gan
洪水	hong'shui
洪武	hong'wu
洪秀全	hong'xiu'quan
洪泽湖	hong'ze'hu
宏大	hong'da
宏观	hong'guan
宏观世界	hong'guan'shi'jie
宏图	hong'tu
宏伟	hong'wei
宏扬	hong'yang
弘农	hong'nong
弘扬	hong'yang
红茶	hong'cha
红丹	hong'dan
红灯	hong'deng
红豆	hong'dou
红光	hong'guang
红果	hong'guo
红海	hong'hai
红河	hong'he
红红的	hong'hong'de
红花	hong'hua
红火	hong'huo
红军	hong'jun
红脸	hong'lian
红磷	hong'lin
红领巾	hong'ling'jin
红柳	hong'liu
红楼	hong'lou
红楼梦	hong'lou'meng
红麻	hong'ma
红木	hong'mu
红旗	hong'qi
红旗手	hong'qi'shou
红曲	hong'qu
红圈	hong'quan
红壤	hong'rang
红热	hong're
红人	hong'ren
红润	hong'run
红色	hong'se
红色政权	hong'se'zheng'quan
红色中华	hong'se'zhong'hua
红烧	hong'shao
红十字会	hong'shi'zi'hui
红薯	hong'shu
红树	hong'shu
红树林	hong'shu'lin
红四军	hong'si'jun
红松	hong'song
红塔山	hong'ta'shan
红糖	hong'tang
红铜	hong'tong
红外线	hong'wai'xian
红外线灯	hong'wai'xian'deng
红卫	hong'wei
红卫兵	hong'wei'bing
红细胞	hong'xi'bao
红线	hong'xian
红小兵	hong'xiao'bing
红心	hong'xin
红星	hong'xing
红袖章	hong'xiu'zhang
红血球	hong'xue'qiu
红岩	hong'yan
红颜	hong'yan
红叶	hong'ye
红肿	hong'zhong
喉管	hou'guan
喉咙	hou'long
喉舌	hou'she
喉头	hou'tou
猴头	hou'tou
猴子	hou'zi
吼叫	hou'jiao
吼声	hou'sheng
厚度	hou'du
厚厚的	hou'hou'de
厚利	hou'li
厚了	hou'le
厚漆	hou'qi
厚实	hou'shi
候补	hou'bu
候车室	hou'che'shi
候机	hou'ji
候机室	hou'ji'shi
候鸟	hou'niao
候审	hou'shen
候选	hou'xuan
候选人	hou'xuan'ren
候诊	hou'zhen
后半夜	hou'ban'ye
后辈	hou'bei
后备	hou'bei
后备军	hou'bei'jun
后边	hou'bian
后车	hou'che
后尘	hou'chen
后代	hou'dai
后盾	hou'dun
后儿	hou'er
后方	hou'fang
后跟	hou'gen
后宫	hou'gong
后顾之忧	hou'gu'zhi'you
后果	hou'guo
后汉	hou'han
后汉书	hou'han'shu
后患	hou'huan
后悔	hou'hui
后记	hou'ji
后继有人	hou'ji'you'ren
后件	hou'jian
后脚	hou'jiao
后进	hou'jin
后空翻	hou'kong'fan
后来	hou'lai
后梁	hou'liang
后路	hou'lu
后掠角	hou'lue'jiao
后门	hou'men
后面	hou'mian
后母	hou'mu
后脑	hou'nao
后年	hou'nian
后排	hou'pai
后期	hou'qi
后起	hou'qi
后起之秀	hou'qi'zhi'xiu
后桥	hou'qiao
后秦	hou'qin
后勤	hou'qin
后勤部	hou'qin'bu
后人	hou'ren
后任	hou'ren
后身	hou'shen
后生	hou'sheng
后世	hou'shi
后事	hou'shi
后手	hou'shou
后送	hou'song
后台	hou'tai
后唐	hou'tang
后天	hou'tian
后头	hou'tou
后土	hou'tu
后退	hou'tui
后卫	hou'wei
后项	hou'xiang
后效	hou'xiao
后行	hou'xing
后续	hou'xu
后学	hou'xue
后燕	hou'yan
后裔	hou'yi
后于	hou'yu
后院	hou'yuan
后者	hou'zhe
后肢	hou'zhi
后周	hou'zhou
后主	hou'zhu
后作	hou'zuo
后蝤	hou'qiu
呼喊	hu'han
呼号	hu'hao
呼和浩特	hu'he'hao'te
呼唤	hu'huan
呼机	hu'ji
呼叫	hu'jiao
呼救	hu'jiu
呼气	hu'qi
呼声	hu'sheng
呼台	hu'tai
呼吸	hu'xi
呼吸道	hu'xi'dao
呼吸困难	hu'xi'kun'nan
呼吸系统	hu'xi'xi'tong
呼啸	hu'xiao
呼应	hu'ying
忽地	hu'di
忽而	hu'er
忽忽	hu'hu
忽略	hu'lue
忽米	hu'mi
忽然	hu'ran
忽视	hu'shi
葫芦	hu'lu
胡海	hu'hai
胡汉民	hu'han'min
胡话	hu'hua
胡椒	hu'jiao
胡来	hu'lai
胡乱	hu'luan
胡麻	hu'ma
胡闹	hu'nao
胡琴	hu'qin
胡适之	hu'shi'zhi
胡说	hu'shuo
胡说八道	hu'shuo'ba'dao
胡思乱想	hu'si'luan'xiang
胡桃	hu'tao
胡同	hu'tong
胡涂	hu'tu
胡须	hu'xu
胡言	hu'yan
胡志明	hu'zhi'ming
胡诌	hu'zhou
胡子	hu'zi
胡作非为	hu'zuo'fei'wei
蝴蝶	hu'die
狐狸	hu'li
糊精	hu'jing
糊口	hu'kou
糊里糊涂	hu'li'hu'tu
糊涂	hu'tu
湖北	hu'bei
湖北省	hu'bei'sheng
湖滨	hu'bin
湖广	hu'guang
湖口	hu'kou
湖面	hu'mian
湖南	hu'nan
湖南省	hu'nan'sheng
湖水	hu'shui
湖州	hu'zhou
弧度	hu'du
弧光	hu'guang
弧光灯	hu'guang'deng
弧菌	hu'jun
弧线	hu'xian
弧形	hu'xing
虎虎	hu'hu
虎将	hu'jiang
虎口	hu'kou
虎口余生	hu'kou'yu'sheng
虎狼	hu'lang
虎门	hu'men
虎丘	hu'qiu
虎穴	hu'xue
虎子	hu'zi
护兵	hu'bing
护法	hu'fa
护国军	hu'guo'jun
护国运动	hu'guo'yun'dong
护航	hu'hang
护理	hu'li
护林	hu'lin
护林防火	hu'lin'fang'huo
护士	hu'shi
护送	hu'song
护卫	hu'wei
护卫舰	hu'wei'jian
护照	hu'zhao
互补	hu'bu
互不干涉内政	hu'bu'gan'she'nei'zheng
互不侵犯条约	hu'bu'qin'fan'tiao'yue
互访	hu'fang
互感	hu'gan
互换	hu'huan
互换性	hu'huan'xing
互惠	hu'hui
互利	hu'li
互联网	hu'lian'wang
互派	hu'pai
互溶	hu'rong
互生	hu'sheng
互通	hu'tong
互通有无	hu'tong'you'wu
互为	hu'wei
互相	hu'xiang
互相爱护	hu'xiang'ai'hu
互相帮助	hu'xiang'bang'zhu
互助	hu'zhu
互助组	hu'zhu'zu
户部	hu'bu
户籍	hu'ji
户口	hu'kou
户头	hu'tou
户主	hu'zhu
花白	hua'bai
花瓣	hua'ban
花被	hua'bei
花边	hua'bian
花布	hua'bu
花草	hua'cao
花茶	hua'cha
花厂	hua'chang
花刺子模	hua'ci'zi'mo
花朵	hua'duo
花儿	hua'er
花费	hua'fei
花粉	hua'fen
花粉管	hua'fen'guan
花岗岩	hua'gang'yan
花冠	hua'guan
花红	hua'hong
花花绿绿	hua'hua'lv'lv
花卉	hua'hui
花甲	hua'jia
花键	hua'jian
花键轴	hua'jian'zhou
花椒	hua'jiao
花轿	hua'jiao
花蕾	hua'lei
花脸	hua'lian
花蜜	hua'mi
花木	hua'mu
花木繁茂	hua'mu'fan'mao
花娘	hua'niang
花鸟	hua'niao
花炮	hua'pao
花盆	hua'pen
花瓶	hua'ping
花期	hua'qi
花旗	hua'qi
花钱	hua'qian
花青	hua'qing
花青素	hua'qing'su
花圈	hua'quan
花裙	hua'qun
花色	hua'se
花生	hua'sheng
花生饼	hua'sheng'bing
花生米	hua'sheng'mi
花生油	hua'sheng'you
花市	hua'shi
花束	hua'shu
花丝	hua'si
花坛	hua'tan
花筒	hua'tong
花纹	hua'wen
花序	hua'xu
花芽	hua'ya
花芽分化	hua'ya'fen'hua
花样	hua'yang
花样滑冰	hua'yang'hua'bing
花药	hua'yao
花衣	hua'yi
花园	hua'yuan
花月痕	hua'yue'hen
花招	hua'zhao
花轴	hua'zhou
花烛	hua'zhu
花柱	hua'zhu
花子	hua'zi
花萼	hua'e
哗变	hua'bian
哗啦	hua'la
哗啦啦	hua'la'la
哗然	hua'ran
华北	hua'bei
华北平原	hua'bei'ping'yuan
华灯	hua'deng
华东	hua'dong
华而不实	hua'er'bu'shi
华里	hua'li
华丽	hua'li
华美	hua'mei
华南	hua'nan
华侨	hua'qiao
华人	hua'ren
华沙	hua'sha
华山	hua'shan
华生	hua'sheng
华盛顿	hua'sheng'dun
华西	hua'xi
华夏	hua'xia
华夏文摘	hua'xia'wen'zhai
华兴会	hua'xing'hui
华阳国志	hua'yang'guo'zhi
华裔	hua'yi
华中	hua'zhong
华佗	hua'tuo
滑板	hua'ban
滑冰	hua'bing
滑车	hua'che
滑道	hua'dao
滑动	hua'dong
滑动摩擦	hua'dong'mo'ca
滑动轴承	hua'dong'zhou'cheng
滑阀	hua'fa
滑环	hua'huan
滑稽	hua'ji
滑轮	hua'lun
滑轮组	hua'lun'zu
滑坡	hua'po
滑润	hua'run
滑石	hua'shi
滑县	hua'xian
滑翔	hua'xiang
滑行	hua'xing
滑雪	hua'xue
滑移	hua'yi
滑音	hua'yin
画报	hua'bao
画笔	hua'bi
画布	hua'bu
画册	hua'ce
画出	hua'chu
画儿	hua'er
画法	hua'fa
画幅	hua'fu
画稿	hua'gao
画家	hua'jia
画架	hua'jia
画卷	hua'juan
画刊	hua'kan
画廊	hua'lang
画面	hua'mian
画皮	hua'pi
画片	hua'pian
画室	hua'shi
画图	hua'tu
画外音	hua'wai'yin
画像	hua'xiang
画一	hua'yi
画展	hua'zhan
划定	hua'ding
划分	hua'fen
划归	hua'gui
划破	hua'po
划清	hua'qing
划时代	hua'shi'dai
划线	hua'xian
划一	hua'yi
化处	hua'chu
化肥	hua'fei
化费	hua'fei
化工	hua'gong
化工厂	hua'gong'chang
化公为私	hua'gong'wei'si
化合	hua'he
化合价	hua'he'jia
化合物	hua'he'wu
化脓	hua'nong
化身	hua'shen
化生	hua'sheng
化石	hua'shi
化铁炉	hua'tie'lu
化为乌有	hua'wei'wu'you
化性	hua'xing
化学	hua'xue
化学变化	hua'xue'bian'hua
化学反应	hua'xue'fan'ying
化学反应速度	hua'xue'fan'ying'su'du
化学方程式	hua'xue'fang'cheng'shi
化学肥料	hua'xue'fei'liao
化学分析	hua'xue'fen'xi
化学工业	hua'xue'gong'ye
化学合成	hua'xue'he'cheng
化学键	hua'xue'jian
化学能	hua'xue'neng
化学平衡	hua'xue'ping'heng
化学武器	hua'xue'wu'qi
化学性质	hua'xue'xing'zhi
化学元素	hua'xue'yuan'su
化验	hua'yan
化油器	hua'you'qi
化整为零	hua'zheng'wei'ling
化装	hua'zhuang
化妆	hua'zhuang
化妆品	hua'zhuang'pin
化子	hua'zi
化作	hua'zuo
话本	hua'ben
话剧	hua'ju
话说	hua'shuo
话题	hua'ti
话筒	hua'tong
话头	hua'tou
话音	hua'yin
话语	hua'yu
槐树	huai'shu
槐树下	huai'shu'xia
怀抱	huai'bao
怀表	huai'biao
怀德	huai'de
怀古	huai'gu
怀恨	huai'hen
怀旧	huai'jiu
怀念	huai'nian
怀仁堂	huai'ren'tang
怀柔	huai'rou
怀疑	huai'yi
怀疑论	huai'yi'lun
怀孕	huai'yun
淮安	huai'an
淮北	huai'bei
淮海	huai'hai
淮河	huai'he
淮南	huai'nan
坏处	huai'chu
坏蛋	huai'dan
坏分子	huai'fen'zi
坏话	huai'hua
坏了	huai'le
坏人	huai'ren
坏事	huai'shi
坏死	huai'si
欢畅	huan'chang
欢度	huan'du
欢呼	huan'hu
欢聚	huan'ju
欢快	huan'kuai
欢乐	huan'le
欢声	huan'sheng
欢声雷动	huan'sheng'lei'dong
欢送	huan'song
欢腾	huan'teng
欢天喜地	huan'tian'xi'di
欢喜	huan'xi
欢笑	huan'xiao
欢欣	huan'xin
欢欣鼓舞	huan'xin'gu'wu
欢心	huan'xin
欢迎	huan'ying
欢娱	huan'yu
环抱	huan'bao
环城	huan'cheng
环带	huan'dai
环顾	huan'gu
环节	huan'jie
环境	huan'jing
环境保护	huan'jing'bao'hu
环境卫生	huan'jing'wei'sheng
环境污染	huan'jing'wu'ran
环流	huan'liu
环流器	huan'liu'qi
环球	huan'qiu
环绕	huan'rao
环视	huan'shi
环烷	huan'wan
环烷烃	huan'wan'ting
环形	huan'xing
环行	huan'xing
环氧树脂	huan'yang'shu'zhi
环氧乙烷	huan'yang'yi'wan
环中	huan'zhong
桓温	huan'wen
桓玄	huan'xuan
还本	huan'ben
还不	hai'bu
还给	huan'gei
还好	hai'hao
还很	hai'hen
还会	hai'hui
还击	huan'ji
还将	hai'jiang
还可	hai'ke
还能	hai'neng
还清	huan'qing
还是	hai'shi
还手	huan'shou
还俗	huan'su
还未	hai'wei
还乡	hai'xiang
还乡团	huan'xiang'tuan
还小	hai'xiao
还要	hai'yao
还有	hai'you
还原	huan'yuan
还原剂	huan'yuan'ji
还原染料	huan'yuan'ran'liao
还原熔炼	huan'yuan'rong'lian
还在	hai'zai
还债	huan'zhai
缓冲	huan'chong
缓冲器	huan'chong'qi
缓冲区	huan'chong'qu
缓冲溶液	huan'chong'rong'ye
缓存	huan'cun
缓和	huan'he
缓缓	huan'huan
缓急	huan'ji
缓解	huan'jie
缓慢	huan'man
缓期	huan'qi
缓刑	huan'xing
换班	huan'ban
换茬	huan'cha
换车	huan'che
换掉	huan'diao
换防	huan'fang
换工	huan'gong
换句话说	huan'ju'hua'shuo
换气	huan'qi
换取	huan'qu
换热器	huan're'qi
换人	huan'ren
换算	huan'suan
换文	huan'wen
换向	huan'xiang
换向器	huan'xiang'qi
换行	huan'xing
换言之	huan'yan'zhi
换页	huan'ye
换羽	huan'yu
患病	huan'bing
患难	huan'nan
患者	huan'zhe
唤起	huan'qi
唤醒	huan'xing
痪症	huan'zheng
豢养	huan'yang
焕发	huan'fa
焕然一新	huan'ran'yi'xin
涣散	huan'san
宦官	huan'guan
幻灯	huan'deng
幻灭	huan'mie
幻想	huan'xiang
荒诞	huang'dan
荒岛	huang'dao
荒地	huang'di
荒废	huang'fei
荒郊	huang'jiao
荒凉	huang'liang
荒谬	huang'miu
荒谬绝伦	huang'miu'jue'lun
荒漠	huang'mo
荒年	huang'nian
荒山	huang'shan
荒疏	huang'shu
荒唐	huang'tang
荒芜	huang'wu
荒野	huang'ye
荒淫	huang'yin
荒淫无耻	huang'yin'wu'chi
荒原	huang'yuan
慌乱	huang'luan
慌忙	huang'mang
慌张	huang'zhang
慌张张	huang'zhang'zhang
黄霸	huang'ba
黄白	huang'bai
黄斑	huang'ban
黄堡	huang'bao
黄巢	huang'chao
黄道	huang'dao
黄道婆	huang'dao'po
黄豆	huang'dou
黄蜂	huang'feng
黄冈	huang'gang
黄瓜	huang'gua
黄海	huang'hai
黄河	huang'he
黄褐色	huang'he'se
黄花	huang'hua
黄花鱼	huang'hua'yu
黄昏	huang'hun
黄金	huang'jin
黄金时代	huang'jin'shi'dai
黄酒	huang'jiu
黄蜡	huang'la
黄连	huang'lian
黄梁	huang'liang
黄梁美梦	huang'liang'mei'meng
黄梁梦	huang'liang'meng
黄陵	huang'ling
黄龙	huang'long
黄麻	huang'ma
黄梅	huang'mei
黄牛	huang'niu
黄浦	huang'pu
黄桥	huang'qiao
黄曲霉	huang'qu'mei
黄壤	huang'rang
黄色	huang'se
黄色工会	huang'se'gong'hui
黄山	huang'shan
黄石	huang'shi
黄鼠狼	huang'shu'lang
黄体	huang'ti
黄铁矿	huang'tie'kuang
黄铜	huang'tong
黄铜矿	huang'tong'kuang
黄土	huang'tu
黄土高原	huang'tu'gao'yuan
黄县	huang'xian
黄兴	huang'xing
黄杨	huang'yang
黄衣	huang'yi
黄油	huang'you
黄鱼	huang'yu
黄钟	huang'zhong
黄种	huang'zhong
黄州	huang'zhou
黄鹂	huang'li
磺胺	huang'an
磺胺噻唑	huang'an'sai'zuo
磺化	huang'hua
磺酸	huang'suan
蝗虫	huang'chong
簧片	huang'pian
皇帝	huang'di
皇甫嵩	huang'fu'song
皇宫	huang'gong
皇冠	huang'guan
皇后	huang'hou
皇家	huang'jia
皇权	huang'quan
皇上	huang'shang
皇室	huang'shi
皇太后	huang'tai'hou
皇太子	huang'tai'zi
皇天	huang'tian
皇庄	huang'zhuang
皇族	huang'zu
皇族内阁	huang'zu'nei'ge
惶惶	huang'huang
惶惑	huang'huo
惶恐	huang'kong
晃荡	huang'dang
晃动	huang'dong
晃晃	huang'huang
晃悠晃悠	huang'you'huang'you
幌子	huang'zi
恍然	huang'ran
恍然大悟	huang'ran'da'wu
恍惚	huang'hu
谎报	huang'bao
谎话	huang'hua
谎言	huang'yan
灰暗	hui'an
灰白	hui'bai
灰尘	hui'chen
灰分	hui'fen
灰浆	hui'jiang
灰烬	hui'jin
灰口铁	hui'kou'tie
灰溜溜	hui'liu'liu
灰色	hui'se
灰土	hui'tu
灰雾	hui'wu
灰心	hui'xin
灰心丧气	hui'xin'sang'qi
灰铸铁	hui'zhu'tie
挥动	hui'dong
挥发	hui'fa
挥发物	hui'fa'wu
挥发油	hui'fa'you
挥戈	hui'ge
挥霍	hui'huo
挥手	hui'shou
挥舞	hui'wu
辉煌	hui'huang
辉映	hui'ying
徽章	hui'zhang
恢复	hui'fu
恢恢	hui'hui
恢谐	hui'xie
蛔虫	hui'chong
回避	hui'bi
回波	hui'bo
回采	hui'cai
回潮	hui'chao
回车	hui'che
回程	hui'cheng
回答	hui'da
回荡	hui'dang
回到	hui'dao
回电	hui'dian
回动	hui'dong
回放	hui'fang
回风	hui'feng
回复	hui'fu
回顾	hui'gu
回归	hui'gui
回国	hui'guo
回过味来	hui'guo'wei'lai
回合	hui'he
回环	hui'huan
回回	hui'hui
回火	hui'huo
回击	hui'ji
回家	hui'jia
回见	hui'jian
回交	hui'jiao
回教	hui'jiao
回扣	hui'kou
回来	hui'lai
回老家	hui'lao'jia
回笼	hui'long
回路	hui'lu
回民	hui'min
回去	hui'qu
回声	hui'sheng
回升	hui'sheng
回师	hui'shi
回事	hui'shi
回收	hui'shou
回收站	hui'shou'zhan
回手	hui'shou
回首	hui'shou
回赎	hui'shu
回水	hui'shui
回丝	hui'si
回填	hui'tian
回头	hui'tou
回头一看	hui'tou'yi'kan
回味	hui'wei
回味无穷	hui'wei'wu'qiong
回乡	hui'xiang
回想	hui'xiang
回响	hui'xiang
回信	hui'xin
回旋	hui'xuan
回旋加速器	hui'xuan'jia'su'qi
回忆	hui'yi
回忆录	hui'yi'lu
回忆说	hui'yi'shuo
回音	hui'yin
回游	hui'you
回赠	hui'zeng
回中	hui'zhong
回转	hui'zhuan
回转半径	hui'zhuan'ban'jing
回族	hui'zu
毁掉	hui'diao
毁坏	hui'huai
毁灭	hui'mie
毁损	hui'sun
毁誉	hui'yu
悔改	hui'gai
悔过	hui'guo
悔恨	hui'hen
悔悟	hui'wu
慧远	hui'yuan
惠更斯	hui'geng'si
惠灵顿	hui'ling'dun
惠施	hui'shi
惠阳	hui'yang
惠州	hui'zhou
晦暗	hui'an
晦气	hui'qi
贿赂	hui'lu
会把	hui'ba
会办	hui'ban
会不会	hui'bu'hui
会场	hui'chang
会当	hui'dang
会儿	hui'er
会馆	hui'guan
会合	hui'he
会后	hui'hou
会话	hui'hua
会集	hui'ji
会计	hui'ji
会计	kuai'ji
会计报表	kuai'ji'bao'biao
会计分录	kuai'ji'fen'lu
会计核算	kuai'ji'he'suan
会计凭证	kuai'ji'ping'zheng
会计人员	kuai'ji'ren'yuan
会计师	kuai'ji'shi
会计业务	kuai'ji'ye'wu
会计制度	kuai'ji'zhi'du
会计资格	kuai'ji'zi'ge
会见	hui'jian
会聚	hui'ju
会客	hui'ke
会理	hui'li
会面	hui'mian
会商	hui'shang
会上	hui'shang
会审	hui'shen
会师	hui'shi
会使	hui'shi
会试	hui'shi
会说	hui'shuo
会谈	hui'tan
会堂	hui'tang
会同	hui'tong
会晤	hui'wu
会心	hui'xin
会演	hui'yan
会意	hui'yi
会议	hui'yi
会有	hui'you
会员	hui'yuan
会员国	hui'yuan'guo
会战	hui'zhan
会诊	hui'zhen
会子	hui'zi
汇报	hui'bao
汇编	hui'bian
汇编程序	hui'bian'cheng'xu
汇编语言	hui'bian'yu'yan
汇兑	hui'dui
汇合	hui'he
汇集	hui'ji
汇聚	hui'ju
汇款	hui'kuan
汇流	hui'liu
汇票	hui'piao
汇入	hui'ru
汇水	hui'shui
汇总	hui'zong
绘出	hui'chu
绘画	hui'hua
绘声绘色	hui'sheng'hui'se
绘图	hui'tu
绘制	hui'zhi
昏暗	hun'an
昏沉	hun'chen
昏黄	hun'huang
昏君	hun'jun
昏迷	hun'mi
昏头昏脑	hun'tou'hun'nao
昏庸	hun'yong
婚否	hun'fou
婚礼	hun'li
婚配	hun'pei
婚期	hun'qi
婚事	hun'shi
婚姻	hun'yin
婚姻法	hun'yin'fa
婚姻制度	hun'yin'zhi'du
婚姻自由	hun'yin'zi'you
婚约	hun'yue
浑厚	hun'hou
浑朴	hun'pu
浑然一体	hun'ran'yi'ti
浑身	hun'shen
浑身解数	hun'shen'xie'shu
浑元	hun'yuan
浑圆	hun'yuan
浑浊	hun'zhuo
混成	hun'cheng
混充	hun'chong
混蛋	hun'dan
混纺	hun'fang
混和	hun'he
混合	hun'he
混合结构	hun'he'jie'gou
混合器	hun'he'qi
混合物	hun'he'wu
混交林	hun'jiao'lin
混进	hun'jin
混炼	hun'lian
混乱	hun'luan
混棉	hun'mian
混凝剂	hun'ning'ji
混凝土	hun'ning'tu
混频器	hun'pin'qi
混入	hun'ru
混铁炉	hun'tie'lu
混同	hun'tong
混为一谈	hun'wei'yi'tan
混响	hun'xiang
混淆	hun'xiao
混养	hun'yang
混杂	hun'za
混战	hun'zhan
混帐	hun'zhang
混浊	hun'zhuo
混作	hun'zuo
混沌	hun'dun
豁出	huo'chu
豁出去	huo'chu'qu
豁达	huo'da
豁达大度	huo'da'da'du
豁口	huo'kou
豁朗	huo'lang
豁亮	huo'liang
豁免	huo'mian
豁免权	huo'mian'quan
豁然	huo'ran
豁然贯通	huo'ran'guan'tong
豁然开朗	huo'ran'kai'lang
豁子	huo'zi
豁嘴	huo'zui
活蹦乱跳	huo'beng'luan'tiao
活动	huo'dong
活动家	huo'dong'jia
活动于	huo'dong'yu
活儿	huo'er
活该	huo'gai
活荷载	huo'he'zai
活化	huo'hua
活化剂	huo'hua'ji
活化能	huo'hua'neng
活活	huo'huo
活计	huo'ji
活结	huo'jie
活劳动	huo'lao'dong
活力	huo'li
活了	huo'le
活路	huo'lu
活络	huo'luo
活埋	huo'mai
活门	huo'men
活命	huo'ming
活泼	huo'po
活期	huo'qi
活生生	huo'sheng'sheng
活水	huo'shui
活现	huo'xian
活象	huo'xiang
活性	huo'xing
活性染料	huo'xing'ran'liao
活性炭	huo'xing'tan
活性中心	huo'xing'zhong'xin
活跃	huo'yue
活捉	huo'zhuo
活字	huo'zi
活字印刷	huo'zi'yin'shua
伙伴	huo'ban
伙房	huo'fang
伙计	huo'ji
伙食	huo'shi
伙同	huo'tong
火把	huo'ba
火柴	huo'chai
火车	huo'che
火车头	huo'che'tou
火车站	huo'che'zhan
火电站	huo'dian'zhan
火攻	huo'gong
火海	huo'hai
火红	huo'hong
火候	huo'hou
火花	huo'hua
火花放电	huo'hua'fang'dian
火鸡	huo'ji
火箭	huo'jian
火箭发动机	huo'jian'fa'dong'ji
火箭筒	huo'jian'tong
火井	huo'jing
火炬	huo'ju
火炬松	huo'ju'song
火炕	huo'kang
火力	huo'li
火力发电	huo'li'fa'dian
火力发电厂	huo'li'fa'dian'chang
火龙	huo'long
火炉	huo'lu
火苗	huo'miao
火炮	huo'pao
火器	huo'qi
火气	huo'qi
火墙	huo'qiang
火热	huo're
火山	huo'shan
火上加油	huo'shang'jia'you
火烧	huo'shao
火舌	huo'she
火势	huo'shi
火速	huo'su
火头	huo'tou
火腿	huo'tui
火网	huo'wang
火线	huo'xian
火星	huo'xing
火焰	huo'yan
火药	huo'yao
火油	huo'you
火灾	huo'zai
火灾保险	huo'zai'bao'xian
火种	huo'zhong
获得	huo'de
获得性	huo'de'xing
获得性免疫	huo'de'xing'mian'yi
获奖	huo'jiang
获救	huo'jiu
获利	huo'li
获取	huo'qu
获胜	huo'sheng
获释	huo'shi
获悉	huo'xi
获知	huo'zhi
获致	huo'zhi
获准	huo'zhun
或多或少	huo'duo'huo'shao
或能	huo'neng
或然	huo'ran
或然率	huo'ran'lv
或然性	huo'ran'xing
或是	huo'shi
或体	huo'ti
或为	huo'wei
或许	huo'xu
或用	huo'yong
或有	huo'you
或则	huo'ze
或者	huo'zhe
惑乱	huo'luan
惑乱军心	huo'luan'jun'xin
惑乱人心	huo'luan'ren'xin
惑人耳目	huo'ren'e'mu
霍布森	huo'bu'sen
霍布斯	huo'bu'si
霍查	huo'cha
霍地	huo'di
霍尔	huo'er
霍霍	huo'huo
霍乱	huo'luan
霍然	huo'ran
霍桑	huo'sang
霍山	huo'shan
霍闪	huo'shan
霍元甲	huo'yuan'jia
货币	huo'bi
货币回笼	huo'bi'hui'long
货币流通	huo'bi'liu'tong
货币资本	huo'bi'zi'ben
货币资金	huo'bi'zi'jin
货舱	huo'cang
货车	huo'che
货船	huo'chuan
货款	huo'kuan
货轮	huo'lun
货品	huo'pin
货色	huo'se
货摊	huo'tan
